Unnamed: 0,serviceCharge,heatingType,newlyConst,balcony,telekomUploadSpeed,totalRent,yearConstructed,scoutId,hasKitchen,cellar,baseRent,livingSpace,condition,petsAllowed,lift,typeOfFlat,noRooms,floorNo,numberOfFloors,garden,regio3,heatingCosts,ParkSpaces,fullAddress,price_category
3971,255.0,floor_heating,0,1,40.0,2154.4,2014.0,114565027,1,1,1794.0,86.0,fully_renovated,2,1,apartment,3.0,3.0,6.0,0,Wilmersdorf_Wilmersdorf,105.4,1,"Albrecht-Achilles-Straße  59a, 10709 Berlin, Germany",above_average
3972,166.0,central_heating,0,0,40.0,946.0,1972.0,107379445,1,1,780.0,51.98,first_time_use,3,1,apartment,2.0,5.0,6.0,0,Charlottenburg_Charlottenburg,70.3,0,"Kantstraße 130, 10625 Berlin, Germany",below_average
3973,100.0,central_heating,0,0,40.0,467.81,1966.0,115653439,0,0,267.81,39.36,well_kept,3,0,apartment,1.0,1.0,3.0,0,Kreuzberg_Kreuzberg,100.0,0,"Hedemannstr. 10, 10969 Berlin, Germany",below_average
3974,170.0,self_contained_central_heating,0,1,40.0,1253.0,1910.0,77539592,1,1,1083.0,55.0,modernized,3,0,roof_storey,2.0,5.0,5.0,0,Friedrichshain_Friedrichshain,45.0,0,"Matternstraße 15, 10249 Berlin, Germany",below_average
3975,117.0,central_heating,0,1,40.0,950.0,1905.0,54983593,0,0,833.0,54.75,refurbished,2,0,apartment,2.0,1.0,4.0,0,Neukölln_Neukölln,37.0,0,"Allerstr. 5, 12049 Berlin, Germany",below_average
3976,100.0,self_contained_central_heating,0,1,40.0,950.0,1919.0,106960550,0,0,850.0,95.0,mint_condition,3,0,roof_storey,2.0,5.0,5.0,0,Britz_Neukölln,70.3,0,"Mackenroder Weg 1, 12347 Berlin, Germany",below_average
3977,170.0,floor_heating,1,1,40.0,1469.6,2018.0,113764708,1,1,1181.6,73.85,first_time_use,3,1,apartment,3.0,1.0,6.0,0,Neukölln_Neukölln,118.0,1,"Delbrückstraße 41, 12051 Berlin, Germany",above_average
3978,149.0,central_heating,0,1,40.0,1658.25,2014.0,111373766,0,0,1370.25,94.5,mint_condition,2,1,apartment,3.0,4.0,4.0,1,Lichtenberg_Lichtenberg,49.0,1,"Lückstr. 75, 10317 Berlin, Germany",above_average
3979,238.0,central_heating,1,1,40.0,1741.4,2018.0,107353743,0,0,1398.0,82.0,first_time_use,3,0,terraced_flat,3.0,0.0,3.0,0,Charlottenburg_Charlottenburg,105.4,0,"Krumme Straße 33, 10627 Berlin, Germany",above_average
3980,395.76,floor_heating,1,1,40.0,2638.4,2018.0,106365112,0,0,2242.64,131.92,first_time_use,2,0,apartment,5.0,2.0,5.0,0,Mitte_Mitte,175.6,1,"Boyenstraße 33, 10115 Berlin, Germany",above_average
