Unnamed_0,serviceCharge,heatingType,newlyConst,balcony,telekomUploadSpeed,totalRent,yearConstructed,scoutId,hasKitchen,cellar,baseRent,livingSpace,condition,petsAllowed,lift,typeOfFlat,noRooms,floorNo,numberOfFloors,garden,regio3,heatingCosts,ParkSpaces,fullAddress,bezirk,bezirk_group,flat_group,condition_group
6259,232.84,gas_heating,0,1,40,726.23,1956,113699969,0,0,493.39,63,modernized,2,1,apartment,2,1,5,0,Mariendorf_Tempelhof,83.8,0,"Rixdorfer Str. 165, 12109 Berlin, Germany",Tempelhof,South,Apartment,Renovated
3712,120,central_heating,0,1,40,695,1956,111388065,1,1,575,35.21,first_time_use_after_refurbishment,2,0,apartment,1,2,3,0,Charlottenburg_Charlottenburg,35.1,1,"Spandauer Damm 149, 14050 Berlin, Germany",Charlottenburg,West,Apartment,New
6224,110,self_contained_central_heating,0,1,40,551.94,1956,115509962,0,0,441.94,54,well_kept,3,0,apartment,2,0,4,0,Steglitz_Steglitz,70.3,0,"Steglitzer Damm 44, 12169 Berlin, Germany",Steglitz,West,Apartment,Well-maintained
1395,180,night_storage_heater,0,1,40,829.14,1956,110685505,0,0,519.14,75,well_kept,3,1,apartment,2.5,5,7,0,Spandau_Spandau,130,0,"Blasewitzer Ring 13, 13593 Berlin, Germany",Spandau,West,Apartment,Well-maintained
5945,60,district_heating,0,1,40,579,1956,83471431,0,0,489,35,modernized,3,0,apartment,1,4,4,0,Tiergarten_Tiergarten,30,0,"Emdener Straße 51a, 10551 Berlin, Germany",Tiergarten,Central,Apartment,Renovated
2219,65,central_heating,0,0,40,442,1956,111394822,1,1,332,30.12,first_time_use,2,0,ground_floor,1,0,5,0,Wilmersdorf_Wilmersdorf,45,0,"Paulsborner Str. 75, 10709 Berlin, Germany",Wilmersdorf,West,Ground Floor,New
6674,106,central_heating,0,0,10,579,1956,100590739,1,1,473,36.85,modernized,3,0,apartment,1,2,4,0,Tempelhof_Tempelhof,29,0,"Schulenburgring 125, 12101 Berlin, Germany",Tempelhof,South,Apartment,Renovated
7689,101,central_heating,0,1,10,604,1956,100591334,0,0,503,38.48,modernized,3,0,apartment,1,4,5,0,Tempelhof_Tempelhof,28,0,"Schulenburgring 125, 12101 Berlin, Germany",Tempelhof,South,Apartment,Renovated
2309,135,central_heating,0,0,40,1285,1956,115440887,1,1,1150,67.33,modernized,3,1,apartment,2,2,6,0,Friedrichshain_Friedrichshain,70.3,0,"Frankfurter Allee 27, 10247 Berlin, Germany",Friedrichshain,Central,Apartment,Renovated
3035,80,floor_heating,0,1,40,1540,1956,115391090,0,0,1421,79,first_time_use,2,0,apartment,3,5,5,0,Wedding_Wedding,39,0,"Ruppinerstraße 35-36, 13355 Berlin, Germany",Wedding,North,Apartment,New
81,110,central_heating,0,1,40,1048,1956,111045647,0,0,898,56.13,first_time_use_after_refurbishment,3,0,raised_ground_floor,2,0,4,0,Schöneberg_Schöneberg,40,0,"Rosenheimer Straße 31, 10781 Berlin, Germany",Schöneberg,Central,Ground Floor,New
4930,243,district_heating,0,1,10,1144,1956,107315743,0,0,901,90.1,well_kept,2,0,apartment,3,2,2,0,Zehlendorf_Zehlendorf,99,0,"Argentinische Allee 251, 14169 Berlin, Germany",Zehlendorf,West,Apartment,Well-maintained
5501,143.58,self_contained_central_heating,0,1,32.1,850,1956,111355984,1,1,706.42,54.34,refurbished,3,0,apartment,2,1,1,1,Hermsdorf_Reinickendorf,0,1,"Heidenheimer Straße 15-17, 13467 Berlin, Germany",Reinickendorf,North,Apartment,Renovated
816,200,floor_heating,1,1,2.4,800,2020,115700906,1,1,600,35,first_time_use,3,1,apartment,1,4,11,1,Friedrichsfelde_Lichtenberg,35.1,0,"Rhinstr. 83, 10315 Berlin, Germany",Lichtenberg,East,Apartment,New
2016,160,gas_heating,1,1,40,1826.4,2020,115329307,1,1,1576.4,112.6,first_time_use,1,1,apartment,2,0,6,0,Charlottenburg_Charlottenburg,90,0,"Herderstr. 3, 10625 Berlin, Germany",Charlottenburg,West,Apartment,New
2117,190,gas_heating,1,1,40,2080,2020,114067213,1,1,1790,122.27,first_time_use,1,1,apartment,3,1,6,0,Charlottenburg_Charlottenburg,100,0,"Herderstr. 3, 10625 Berlin, Germany",Charlottenburg,West,Apartment,New
2545,110,gas_heating,1,1,40,1328.56,2020,115366697,1,1,1158.56,72.41,first_time_use,1,1,ground_floor,2,0,6,0,Charlottenburg_Charlottenburg,60,0,"Herderstr. 3, 10625 Berlin, Germany",Charlottenburg,West,Ground Floor,New
5739,140,gas_heating,1,1,40,1640,2020,114066294,1,1,1420,98.72,first_time_use,1,1,apartment,2,1,6,0,Charlottenburg_Charlottenburg,80,0,"Herderstr. 3, 10625 Berlin, Germany",Charlottenburg,West,Apartment,New
888,390,central_heating,1,1,10,1884.2,2020,115691980,1,1,1494.2,130,first_time_use,3,0,apartment,4,3,3,0,Kaulsdorf_Hellersdorf,140.5,0,"Auguststr. 3b, 12621 Berlin, Germany",Hellersdorf,East,Apartment,New
