noRooms,totalRent,livingSpace,balcony
4.0,1959.0,113.46,True
1.0,509.0,44.0,False
2.0,1431.4,75.4,True
4.0,1004.906452363378,82.74,True
2.0,1325.0,59.6,True
3.0,1536.0,96.0,True
3.0,1255.0,65.0,True
1.0,840.0,24.05,True
3.0,1000.0,82.0,True
4.0,1205.0,90.89,True
3.0,1767.0,117.31,True
1.0,500.0,35.5,True
1.0,621.0,36.63,False
4.0,2650.0,146.43,True
2.0,654.2,66.08,True
2.0,1325.2532261816891,52.07,True
3.0,1368.0,70.0,False
3.0,1750.0,108.0,True
2.0,999.51,74.28,True
3.5,2220.0,100.75,True
2.0,1100.0,66.89,False
1.5,797.1,32.7,True
3.0,1489.66,126.02,True
8.0,2641.0,220.0,True
1.0,1000.0,41.14,False
3.0,2065.02,106.83,False
4.0,4500.0,165.0,True
3.0,899.0,73.85,True
3.0,2555.0,125.46,True
4.0,2059.99,126.0,True
3.0,1214.1,93.94,True
2.0,1065.41,60.0,True
3.0,1113.0,83.01,True
3.0,1612.4,118.95,False
2.0,1959.0,78.0,False
2.0,1361.65,79.51,True
3.0,2041.0,96.73,True
5.0,2636.8,131.84,True
2.0,1150.0,65.0,False
2.0,830.0,63.84,True
3.0,1349.0,101.29,True
3.0,2512.0,119.0,True
3.0,1528.0,107.0,False
4.0,1884.2,130.0,True
4.0,2467.0,144.84,True
2.0,597.0,54.0,True
2.0,1266.3,64.9,True
5.0,3890.0,185.0,True
3.0,895.6700000000001,77.48,True
2.0,1140.0,69.2,True
3.0,729.38,73.06,True
2.2,1154.25,80.46,False
3.0,1443.0,87.28,True
5.0,6855.48,286.84,True
2.5,1329.0,77.1,False
6.0,3487.0,217.0,True
3.0,1847.16,97.0,True
3.0,1700.0,97.0,True
3.0,861.2,81.4,True
3.0,725.08,70.31,True
2.0,486.77,53.02,False
3.0,1800.0,98.0,False
2.0,964.2032261816892,72.98,True
1.0,495.0,38.0,True
3.0,1068.31,77.82,True
2.0,532.87,44.0,False
2.0,679.47,55.83,True
3.0,2080.0,95.0,True
3.0,2357.0,108.0,True
2.0,1351.0,74.0,True
5.5,4600.0,230.0,True
3.0,1259.0,90.49,True
3.0,896.66,77.97,True
1.5,690.0,41.78,True
2.0,872.72,56.06,True
1.0,1400.0,55.0,True
3.0,999.24,75.78,False
5.0,2670.0,185.0,True
1.0,554.99,24.13,True
3.0,730.16,80.0,False
1.0,850.0,43.0,False
5.0,3115.0,178.0,True
2.0,1623.0,72.0,True
2.0,595.0,51.0,False
2.0,895.0,62.0,True
2.0,617.0,64.0,False
2.0,899.0,72.9,True
3.0,1605.0798392725335,116.8,False
3.0,2112.0,105.6,True
4.0,2440.0,126.78,True
4.0,2665.0,107.55,True
2.0,1079.0,50.79,True
2.0,1062.45,63.17,True
2.0,579.0,49.74,True
3.0,907.0,66.74,False
3.0,2037.3798392725337,96.68,True
2.0,686.29,59.36,True
2.0,1250.0,55.0,True
1.0,570.15,29.03,True
2.0,1074.02,67.5,True
